# form	sources — set aside by tools/build_lexicon.py, out of scope for a
# single-word speller and kept for whatever handles phrases later
ауыз тигізген жоқ	kazdict
ауыз тиді	kazdict
ауыз толтырып айтарлық	kazdict
ауыз толтырып сөйледі	kazdict
ауыз толым	kazdict
ауыз тұшитын	kazdict
ауыз тұшитын [тұшырлық	kazdict
ауыз тұшыды	kazdict
ауыз уылу	kazdict
ауыз хабар	kazdict
ауыз шаюға келмеді	kazdict
ауыз қалжың	kazdict
ауыз қобыз	kazdict
ауыз қора	kazdict
ауыз қуысы	kazdict
ауыз құрылысы	kazdict
ауыз құтырық	kazdict
ауыз үй	kazdict
ауыз үйірді	kazdict
ауыз әдебиеті	kazdict
ауыз: ауыз байлық жасау	kazdict
ауызашар жасады	kazdict
ауызбен айды алады	kazdict
ауызбен айды алады (ауызбен орақ орады]	kazdict
ауызбен айтып жеткізе алмады	kazdict
ауыздай айтты	kazdict
ауыздай сөгіс	kazdict
ауыздан алғысыз	kazdict
ауыздан ауызға көшті	kazdict
ауыздан жаздыру	kazdict
ауыздан шықпасын	kazdict
ауыздан шыққан кәләм	kazdict
ауыздан шыққан сөзді екі қылмас	kazdict
ауыздан қақты	kazdict
ауыздап жіберді	kazdict
ауыздап жіберу	kazdict
ауыздап шығару	kazdict
ауыздарына түкіріп қойғандай	kazdict
ауыздағы ас кетер	kazdict
ауыздағы сөзді алды	kazdict
ауызды ашар-ашпастан	kazdict
ауыздыға сөз	kazdict
ауыздығын тістеп ала жөнелді	kazdict
ауыздығын шайнады	kazdict
ауыздық i	kazdict
ауыздық ii	kazdict
ауыздық салды	kazdict
ауыздық сүзді	kazdict
ауыздық шылбыр	kazdict
ауыздықпен алысты	kazdict
ауыздықпен жер сүзді	kazdict
ауыздықпен су ішті	kazdict
ауыздың дәмін алды	kazdict
ауызекі нұсқа	kazdict
ауызекі сөйлесті	kazdict
ауызекі сөйлеу	kazdict
ауызекі сөйлеу стилі	kazdict
ауызекі тіл	kazdict
ауызжолды үнді	kazdict
ауызша есеп	kazdict
ауызша сөз	kazdict
ауызша әдеби тіл	kazdict
ауызы асқа	kazdict
ауызынан ас айырмады	kazdict
ауызға [ел	kazdict
ауызға аларлық	kazdict
ауызға алды	kazdict
ауызға алу	kazdict
ауызға алуға арзымады	kazdict
ауызға басу	kazdict
ауызға жиі алады	kazdict
ауызға келіп түсті	kazdict
ауызға сөз түспеді	kazdict
ауызға түсті	kazdict
ауызға уақып болу	kazdict
ауызға үріп салғандай	kazdict
ауызға ұрғандай	kazdict
ауызғы бөлме	kazdict
ауызғы үй	kazdict
ауызғы: ауызғы үй	kazdict
ауыл /262	kazdict
ауыл адамдары	kazdict
ауыл айбанасы	kazdict
ауыл айбаты	kazdict
ауыл аралас	kazdict
ауыл ағасы	kazdict
ауыл ақсақалы	kazdict
ауыл баққан	kazdict
ауыл биі	kazdict
ауыл болды	kazdict
ауыл жақтық істеді	kazdict
ауыл иесі	kazdict
ауыл итінің құйрығы қайқы	kazdict
ауыл кеші	kazdict
ауыл кеңес	kazdict
ауыл кәдесі	kazdict
ауыл көрімдік	kazdict
ауыл мектебі	kazdict
ауыл орнындай жер	kazdict
ауыл салық	kazdict
ауыл совет	kazdict
ауыл торыған ұрыдай	kazdict
ауыл қонды	kazdict
ауыл үй	kazdict
ауыл үй қонды	kazdict
ауыл үй қону	kazdict
ауыл ұя	kazdict
ауыл әкімі	kazdict
ауыл-үй отырды	kazdict
ауыл-үй қонды	kazdict
ауылдай боп күй тыңдау	kazdict
ауылдай жарасымды	kazdict
ауылдастың аузы сасық	kazdict
ауылды басына көтерді	kazdict
ауылды жер	kazdict
ауылдық кеңес	kazdict
ауылдық кеңес ағасы	kazdict
ауылдық кеңес хатшысы	kazdict
ауылдық комитет	kazdict
ауылдық мектеп	kazdict
ауылдық старшина	kazdict
ауылдық қосшы ағасы	kazdict
ауылдық: ауылдық кеңес	kazdict
ауылдың алты аузы	kazdict
ауылдың алты ауызы	kazdict
ауылдың ақсақалы	kazdict
ауылдың сал жігіттеріндей	kazdict
ауылдың түтіні	kazdict
ауылдың әулекісі	kazdict
ауылжақтық: ауылжақтық істеді	kazdict
ауылнай басы	kazdict
ауылшаруашылығы кәсіпорны	kazdict
ауылшаруашылығын коллективтендіру	kazdict
ауылшаруашылық академиясы	kazdict
ауылшаруашылық артелі	kazdict
ауылшаруашылық дақылдары	kazdict
ауылшаруашылық дақылдарының зиянкестері	kazdict
ауылшаруашылық зиянкестері	kazdict
ауылшаруашылық институты	kazdict
ауылшаруашылық кешені	kazdict
ауылшаруашылық көрмесі	kazdict
ауылшаруашылық мәшинелері	kazdict
ауылшаруашылық техникасы	kazdict
ауылшаруашылық техникумы	kazdict
ауылшаруашылық училище	kazdict
ауылшаруашылық экологиясы	kazdict
ауылшаруашылық экономикасы	kazdict
ауылшаруашылық ғылымдары	kazdict
ауылшаруашылық өнімдері	kazdict
ауылшарушылық құрал-сайман	kazdict
ауылшарушылық өндірісі	kazdict
ауылы алыс	kazdict
ауылынан қырық қадам шықты	kazdict
ауып айту	kazdict
ауып кету	kazdict
ауып тию	kazdict
ауыр /42	kazdict
ауыр /89	kazdict
ауыр i	kazdict
ауыр ii	kazdict
ауыр азаптай аңғару	kazdict
ауыр айып тәрізді	kazdict
ауыр артиллерия	kazdict
ауыр атлет	kazdict
ауыр атлетика	kazdict
ауыр ақы	kazdict
ауыр болды	kazdict
ауыр жараланды	kazdict
ауыр жаралы	kazdict
ауыр жатыр	kazdict
ауыр жағдай	kazdict
ауыр жылжыды	kazdict
ауыр жүк	kazdict
ауыр жұдырық	kazdict
ауыр жұмыстар	kazdict
ауыр зиян келтіру	kazdict
ауыр индустрия	kazdict
ауыр кез [жыл	kazdict
ауыр кемістік	kazdict
ауыр күн	kazdict
ауыр күрзі	kazdict
ауыр күрсінді	kazdict
ауыр көрді	kazdict
ауыр металдар	kazdict
ауыр мінез	kazdict
ауыр мінезді	kazdict
ауыр мәшине жасау	kazdict
ауыр ой [сезім	kazdict
ауыр салмақ	kazdict
ауыр салмақты	kazdict
ауыр соқты	kazdict
ауыр соққы	kazdict
ауыр су	kazdict
ауыр сөз	kazdict
ауыр тамақ	kazdict
ауыр тартты	kazdict
ауыр тас басқандай	kazdict
ауыр тиді	kazdict
ауыр тыныштық	kazdict
ауыр тұман басқандай	kazdict
ауыр шерік	kazdict
ауыр қол	kazdict
ауыр қол еңбегі	kazdict
ауыр қылмыс	kazdict
ауыр әскер	kazdict
ауыр өнеркәсіп	kazdict
ауырдың батпаны	kazdict
ауырдың үсті	kazdict
ауырдың үстімен	kazdict
ауырдың үстімен жүзді	kazdict
ауырлау 1	kazdict
ауырлау 2	kazdict
ауырлау тиді	kazdict
ауырлығы тиді	kazdict
ауырлық бірлігі	kazdict
ауырлық күш	kazdict
ауырлық түсті	kazdict
ауырлық центрі	kazdict
ауырлықты көтереді	kazdict
ауырсын 1	kazdict
ауырсыну 1	kazdict
ауырсыну 2	kazdict
ауырсыну 3	kazdict
ауырсыну адаптациясы	kazdict
ауыртпалық түсті	kazdict
ауыртпақ 1	kazdict
ауыртпақ 2	kazdict
ауырту тәсілі	kazdict
ауырған жағдайдан сақтандыру	kazdict
ауырған кісідей	kazdict
ауыспалы айналым	kazdict
ауыспалы валенттік	kazdict
ауыспалы вымпел	kazdict
ауыспалы доға	kazdict
ауыспалы егіс	kazdict
ауыспалы егістік	kazdict
ауыспалы жайылым	kazdict
ауыспалы кубок	kazdict
ауыспалы мағына	kazdict
ауыспалы осы шақ	kazdict
ауыспалы сөз	kazdict
ауыспалы ток	kazdict
ауыспалы қау	kazdict
ауыспалы қызыл ту	kazdict
